Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
HAWAII,2014,9,9,7,22
IDAHO,2014,9,9,0,443
ILLINOIS,2014,9,9,39,159
INDIANA,2014,9,9,277,1682
IOWA,2014,9,9,21,223
KANSAS,2014,9,9,5,130
KENTUCKY,2014,9,9,0,2351
LOUISIANA,2014,9,9,0,403
MAINE,2014,9,9,101,281
MARYLAND,2014,9,9,0,1013
MASSACHUSETTS,2014,9,9,367,2909
MICHIGAN,2014,9,9,383,3420
MINNESOTA,2014,9,9,6,9
MISSISSIPPI,2014,9,9,375,2257
MISSOURI,2014,9,9,99,970
MONTANA,2014,9,9,52,450
NEBRASKA,2014,9,9,118,559
NEVADA,2014,9,9,0,801
NEW HAMPSHIRE,2014,9,9,1,9
NEW JERSEY,2014,9,9,216,1202
NEW MEXICO,2014,9,9,95,938
NEW YORK,2014,9,9,674,5157
NORTH CAROLINA,2014,9,9,889,7227
NORTH DAKOTA,2014,9,9,5,50
OHIO,2014,9,9,347,2945
OKLAHOMA,2014,9,9,16,303
OREGON,2014,9,9,316,2158
PENNSYLVANIA,2014,9,9,797,7715
RHODE ISLAND,2014,9,9,0,286
SOUTH CAROLINA,2014,9,9,542,3011
SOUTH DAKOTA,2014,9,9,37,275
TENNESSEE,2014,9,9,195,1880
TEXAS,2014,9,9,0,4496
UTAH,2014,9,9,99,705
VERMONT,2014,9,9,41,151
VIRGINIA,2014,9,9,1265,5117
WASHINGTON,2014,9,9,339,3209
WEST VIRGINIA,2014,9,9,51,451
WISCONSIN,2014,9,9,246,2173
WYOMING,2014,9,9,0,9
ALABAMA,2014,10,10,490,851
ALASKA,2014,10,10,23,311
ARIZONA,2014,10,10,0,0
ARKANSAS,2014,10,10,225,1618
CALIFORNIA,2014,10,10,1339,9799
COLORADO,2014,10,10,393,3390
CONNECTICUT,2014,10,10,0,317
DELAWARE,2014,10,10,141,692
FLORIDA,2014,10,10,1012,9150
GEORGIA,2014,10,10,1116,7654
HAWAII,2014,10,10,4,26
IDAHO,2014,10,10,0,443
ILLINOIS,2014,10,10,32,191
INDIANA,2014,10,10,156,1838
IOWA,2014,10,10,15,238
KANSAS,2014,10,10,1,131
KENTUCKY,2014,10,10,314,2665
LOUISIANA,2014,10,10,0,403
MAINE,2014,10,10,0,281
MARYLAND,2014,10,10,424,1437
MASSACHUSETTS,2014,10,10,478,3387
MICHIGAN,2014,10,10,338,3758
MINNESOTA,2014,10,10,0,9
MISSISSIPPI,2014,10,10,309,2566
MISSOURI,2014,10,10,89,1059
MONTANA,2014,10,10,78,528
NEBRASKA,2014,10,10,107,666
NEVADA,2014,10,10,1,802
NEW HAMPSHIRE,2014,10,10,0,9
NEW JERSEY,2014,10,10,160,1362
NEW MEXICO,2014,10,10,200,1138
NEW YORK,2014,10,10,760,5917
NORTH CAROLINA,2014,10,10,797,8024
NORTH DAKOTA,2014,10,10,6,56
OHIO,2014,10,10,332,3277
OKLAHOMA,2014,10,10,0,303
OREGON,2014,10,10,206,2364
PENNSYLVANIA,2014,10,10,819,8534
RHODE ISLAND,2014,10,10,0,286
