Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
ALABAMA,2014,8,8,0,100
ALASKA,2014,8,8,8,67
ARIZONA,2014,8,8,0,0
ARKANSAS,2014,8,8,66,418
CALIFORNIA,2014,8,8,0,2240
COLORADO,2014,8,8,23,383
CONNECTICUT,2014,8,8,0,6
DELAWARE,2014,8,8,14,164
FLORIDA,2014,8,8,194,1823
GEORGIA,2014,8,8,62,1386
HAWAII,2014,8,8,5,9
IDAHO,2014,8,8,0,9
ILLINOIS,2014,8,8,13,50
INDIANA,2014,8,8,27,344
IOWA,2014,8,8,3,24
KANSAS,2014,8,8,0,27
KENTUCKY,2014,8,8,99,580
LOUISIANA,2014,8,8,21,118
MAINE,2014,8,8,1,16
MARYLAND,2014,8,8,93,269
MASSACHUSETTS,2014,8,8,56,486
MICHIGAN,2014,8,8,101,782
MINNESOTA,2014,8,8,0,1
MISSISSIPPI,2014,8,8,100,515
MISSOURI,2014,8,8,35,336
MONTANA,2014,8,8,5,26
NEBRASKA,2014,8,8,0,74
NEVADA,2014,8,8,0,198
NEW HAMPSHIRE,2014,8,8,3,19
NEW JERSEY,2014,8,8,25,205
NEW MEXICO,2014,8,8,3,54
NEW YORK,2014,8,8,128,721
NORTH CAROLINA,2014,8,8,204,1902
NORTH DAKOTA,2014,8,8,0,4
OHIO,2014,8,8,134,770
OKLAHOMA,2014,8,8,8,78
OREGON,2014,8,8,20,221
PENNSYLVANIA,2014,8,8,212,1804
RHODE ISLAND,2014,8,8,4,55
SOUTH CAROLINA,2014,8,8,161,737
SOUTH DAKOTA,2014,8,8,2,6
TENNESSEE,2014,8,8,41,403
TEXAS,2014,8,8,411,1134
UTAH,2014,8,8,10,102
VERMONT,2014,8,8,0,2
VIRGINIA,2014,8,8,281,871
WASHINGTON,2014,8,8,62,528
WEST VIRGINIA,2014,8,8,9,76
WISCONSIN,2014,8,8,58,395
WYOMING,2014,8,8,1,1
ALABAMA,2014,9,9,0,100
ALASKA,2014,9,9,5,72
ARIZONA,2014,9,9,0,0
ARKANSAS,2014,9,9,0,418
CALIFORNIA,2014,9,9,405,2645
COLORADO,2014,9,9,19,402
CONNECTICUT,2014,9,9,0,6
DELAWARE,2014,9,9,35,199
FLORIDA,2014,9,9,236,2059
GEORGIA,2014,9,9,357,1743
HAWAII,2014,9,9,11,20
IDAHO,2014,9,9,3,12
ILLINOIS,2014,9,9,13,63
INDIANA,2014,9,9,66,410
IOWA,2014,9,9,3,27
KANSAS,2014,9,9,3,30
KENTUCKY,2014,9,9,0,580
LOUISIANA,2014,9,9,0,118
MAINE,2014,9,9,8,24
MARYLAND,2014,9,9,0,269
MASSACHUSETTS,2014,9,9,67,553
MICHIGAN,2014,9,9,108,890
MINNESOTA,2014,9,9,2,3
MISSISSIPPI,2014,9,9,106,621
MISSOURI,2014,9,9,41,377
MONTANA,2014,9,9,9,35
NEBRASKA,2014,9,9,19,93
NEVADA,2014,9,9,0,198
NEW HAMPSHIRE,2014,9,9,2,21
NEW JERSEY,2014,9,9,43,248
NEW MEXICO,2014,9,9,8,62
NEW YORK,2014,9,9,99,820
NORTH CAROLINA,2014,9,9,265,2167
NORTH DAKOTA,2014,9,9,1,5
OHIO,2014,9,9,119,889
OKLAHOMA,2014,9,9,4,82
OREGON,2014,9,9,47,268
PENNSYLVANIA,2014,9,9,195,1999
RHODE ISLAND,2014,9,9,0,55
SOUTH CAROLINA,2014,9,9,140,877
SOUTH DAKOTA,2014,9,9,0,6
TENNESSEE,2014,9,9,32,435
TEXAS,2014,9,9,0,1134
UTAH,2014,9,9,10,112
VERMONT,2014,9,9,0,2
VIRGINIA,2014,9,9,97,968
WASHINGTON,2014,9,9,65,593
WEST VIRGINIA,2014,9,9,12,88
WISCONSIN,2014,9,9,38,433
WYOMING,2014,9,9,0,1
ALABAMA,2014,10,10,126,226
ALASKA,2014,10,10,8,80
ARIZONA,2014,10,10,0,0
ARKANSAS,2014,10,10,67,485
CALIFORNIA,2014,10,10,328,2973
COLORADO,2014,10,10,55,457
CONNECTICUT,2014,10,10,0,6
DELAWARE,2014,10,10,42,241
FLORIDA,2014,10,10,204,2263
GEORGIA,2014,10,10,238,1981
HAWAII,2014,10,10,1,21
IDAHO,2014,10,10,4,16
ILLINOIS,2014,10,10,3,66
INDIANA,2014,10,10,34,444
IOWA,2014,10,10,2,29
KANSAS,2014,10,10,0,30
KENTUCKY,2014,10,10,79,659
LOUISIANA,2014,10,10,0,118
MAINE,2014,10,10,0,24
MARYLAND,2014,10,10,67,336
MASSACHUSETTS,2014,10,10,55,608
MICHIGAN,2014,10,10,91,981
MINNESOTA,2014,10,10,0,3
MISSISSIPPI,2014,10,10,119,740
MISSOURI,2014,10,10,40,417
MONTANA,2014,10,10,2,37
NEBRASKA,2014,10,10,16,109
NEVADA,2014,10,10,0,198
NEW HAMPSHIRE,2014,10,10,0,21
NEW JERSEY,2014,10,10,23,271
NEW MEXICO,2014,10,10,10,72
NEW YORK,2014,10,10,142,962
NORTH CAROLINA,2014,10,10,225,2392
NORTH DAKOTA,2014,10,10,0,5
OHIO,2014,10,10,97,986
OKLAHOMA,2014,10,10,0,82
OREGON,2014,10,10,34,302
PENNSYLVANIA,2014,10,10,187,2186
RHODE ISLAND,2014,10,10,0,55
SOUTH CAROLINA,2014,10,10,164,1041
SOUTH DAKOTA,2014,10,10,0,6
TENNESSEE,2014,10,10,20,455
TEXAS,2014,10,10,471,1605
UTAH,2014,10,10,12,124
VERMONT,2014,10,10,0,2
